selector,classifier,replication_mode,fold,n_train,n_test,n_test_fails,n_selected_features,BER,True+,True-,threshold_oof_global,alpha,gamma,C,n_neighbors
F-test,logreg,with_missing_indicators,7,1410,157,11,40,0.3437110834371109,0.5454545454545454,0.7671232876712328,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,8,1411,156,10,40,0.3958904109589041,0.4,0.8082191780821918,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,9,1411,156,10,40,0.3335616438356164,0.6,0.7328767123287672,0.5286968450647964,,,1.0,
F-test,logreg,with_missing_indicators,10,1411,156,10,40,0.31643835616438354,0.6,0.7671232876712328,0.5286968450647964,,,1.0,
Pearson,logreg,strict,1,1410,157,10,40,0.16224489795918373,0.9,0.7755102040816326,0.48133778049274895,,,0.01,
Pearson,logreg,strict,2,1410,157,10,40,0.24625850340136046,0.8,0.7074829931972789,0.48133778049274895,,,0.01,
Pearson,logreg,strict,3,1410,157,10,40,0.34285714285714286,0.6,0.7142857142857143,0.48133778049274895,,,0.01,
Pearson,logreg,strict,4,1410,157,11,40,0.2630759651307597,0.7272727272727273,0.7465753424657534,0.48133778049274895,,,0.01,
Pearson,logreg,strict,5,1410,157,11,40,0.32907845579078454,0.6363636363636364,0.7054794520547946,0.48133778049274895,,,0.01,
Pearson,logreg,strict,6,1410,157,11,40,0.2914072229140723,0.6363636363636364,0.7808219178082192,0.48133778049274895,,,0.01,
Pearson,logreg,strict,7,1410,157,11,40,0.33250311332503113,0.6363636363636364,0.6986301369863014,0.48133778049274895,,,0.01,
Pearson,logreg,strict,8,1411,156,10,40,0.4506849315068493,0.4,0.6986301369863014,0.48133778049274895,,,0.01,
Pearson,logreg,strict,9,1411,156,10,40,0.3609589041095891,0.6,0.678082191780822,0.48133778049274895,,,0.01,
Pearson,logreg,strict,10,1411,156,10,40,0.34383561643835625,0.6,0.7123287671232876,0.48133778049274895,,,0.01,
Pearson,logreg,with_missing_indicators,1,1410,157,10,40,0.2020408163265306,0.8,0.7959183673469388,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,2,1410,157,10,40,0.23945578231292508,0.8,0.7210884353741497,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,3,1410,157,10,40,0.3020408163265307,0.6,0.7959183673469388,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,4,1410,157,11,40,0.3617683686176837,0.45454545454545453,0.821917808219178,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,5,1410,157,11,40,0.24595267745952676,0.7272727272727273,0.7808219178082192,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,6,1410,157,11,40,0.3128891656288917,0.5454545454545454,0.8287671232876712,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,7,1410,157,11,40,0.3437110834371109,0.5454545454545454,0.7671232876712328,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,8,1411,156,10,40,0.3958904109589041,0.4,0.8082191780821918,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,9,1411,156,10,40,0.3335616438356164,0.6,0.7328767123287672,0.5286968450647964,,,1.0,
Pearson,logreg,with_missing_indicators,10,1411,156,10,40,0.31643835616438354,0.6,0.7671232876712328,0.5286968450647964,,,1.0,
ReliefF,logreg,strict,1,1410,157,10,40,0.1802721088435374,1.0,0.6394557823129252,0.40631540693970053,,,0.1,10.0
ReliefF,logreg,strict,2,1410,157,10,40,0.273469387755102,0.8,0.6530612244897959,0.40631540693970053,,,0.1,10.0
ReliefF,logreg,strict,3,1410,157,10,40,0.2768707482993197,0.8,0.6462585034013606,0.40631540693970053,,,0.1,10.0
